region_name,mean_light,sum_light,年,GDP
徳島県,0.8816868975978825,4413.724609375,2018,5585476.0
愛媛県,0.9283813046232372,6320.419921875,2018,10450083.0
愛知県,8.012583520577104,50815.8046875,2018,84246770.0
新潟県,1.033258946136292,16413.318359375,2018,16643711.0
東京都,20.098634629698548,54005.03125,2018,186928329.0
栃木県,1.7220709955814388,13786.900390625,2018,18270439.0
沖縄県,0.0,0.0,2018,7865649.0
滋賀県,1.8681146489534648,9192.9921875,2018,13995872.0
熊本県,1.042554062039973,9206.794921875,2018,11213365.0
石川県,1.5611867882806532,8174.3740234375,2018,9059106.0
神奈川県,12.455425113559892,37017.5234375,2018,64692073.0
福井県,1.1517110090706364,5971.62158203125,2018,6761556.0
福岡県,4.3380697838345865,25963.34765625,2018,37573199.0
福島県,0.8370948658147425,14558.75390625,2018,15218271.0
秋田県,0.6861240342652785,10396.1513671875,2018,6258022.0
群馬県,1.5306899743199318,12126.1259765625,2018,18372560.0
茨城県,2.8883984117501647,21908.501953125,2018,27820615.0
長崎県,1.1864367545264274,5881.1669921875,2018,8114433.0
長野県,0.8022275257167261,13501.4892578125,2018,15940753.0
青森県,1.0996461195324136,14028.185546875,2018,7770207.0
静岡県,2.113476624067458,20113.95703125,2018,35127196.0
香川県,2.1237473209347346,4799.6689453125,2018,7588984.0
高知県,0.6002327590311145,5121.7861328125,2018,4136368.0
鳥取県,0.7273510533037162,3141.42919921875,2018,3432659.0
鹿児島県,0.633277188400158,6815.3291015625,2018,9879631.0
三重県,1.7270756892989456,12120.6171875,2019,19226887.0
京都府,2.111376081964317,11952.5,2019,18311830.0
佐賀県,1.587732381059438,4634.5908203125,2019,5838334.0
兵庫県,2.780756165244969,28605.638671875,2019,42049209.0
北海道,0.9313974756344604,107128.40625,2019,36265742.0
千葉県,5.850133203986763,37124.9453125,2019,40909138.0
和歌山県,1.0204209193467009,5814.3583984375,2019,7127513.0
埼玉県,7.1450001327809645,33631.515625,2019,42238667.0
大分県,0.9959356349878338,7572.0986328125,2019,10050541.0
大阪府,18.233513327205884,42155.8828125,2019,72264304.0
奈良県,1.6651627110733394,7469.919921875,2019,6644029.0
宮城県,1.5913340332608228,14813.728515625,2019,17672978.0
宮崎県,0.602254746835443,5519.0625,2019,6782671.0
富山県,1.3615870160749577,7234.11181640625,2019,9144287.0
山口県,1.052457959499189,7786.083984375,2019,12993611.0
山形県,0.8348483831464795,9959.7412109375,2019,8069598.0
山梨県,1.0853320631290806,5984.52099609375,2019,6502692.0
岐阜県,1.076006061894823,14112.8955078125,2019,15184689.0
岡山県,1.2856958642454566,11177.83984375,2019,16385066.0
岩手県,0.5659077598367676,11232.703125,2019,9150513.0
島根県,0.5457669109319896,4487.84130859375,2019,4595332.0
広島県,1.370860501548437,14165.1015625,2019,23531689.0
徳島県,0.8791766286705953,4401.158203125,2019,5785773.0
愛媛県,0.9209654972780184,6269.93310546875,2019,10710500.0
愛知県,7.960216241918953,50483.69140625,2019,84100376.0
新潟県,0.9650583048079948,15329.951171875,2019,16541937.0
東京都,20.32954822990324,54625.49609375,2019,202733245.0
栃木県,1.6868876662815389,13505.22265625,2019,17910509.0
沖縄県,0.0,0.0,2019,7734694.0
滋賀県,1.87063096931518,9205.375,2019,13976676.0
熊本県,1.0320791547531425,9114.291015625,2019,11411509.0
石川県,1.427354548886316,7473.62841796875,2019,8883873.0
神奈川県,12.468772343960296,37057.19140625,2019,63932469.0
福井県,0.9969703019527484,5169.291015625,2019,6940418.0
福岡県,4.367828098893066,26141.451171875,2019,36911743.0
福島県,0.8035701692049505,13975.6923828125,2019,15183704.0
秋田県,0.6790072834856784,10288.318359375,2019,6296401.0
群馬県,1.4917609781305226,11817.73046875,2019,18641847.0
茨城県,2.9341447964733027,22255.48828125,2019,27561302.0
長崎県,1.145606414382439,5678.77099609375,2019,8229730.0
長野県,0.7725907396576055,13002.7021484375,2019,15633943.0
青森県,1.112370598005017,14190.51171875,2019,7833185.0
静岡県,2.135640909031207,20324.89453125,2019,35160724.0
香川県,2.115010543418141,4779.923828125,2019,7675034.0
高知県,0.5919083448083909,5050.75390625,2019,4168323.0
鳥取県,0.6890700972447326,2976.09375,2019,3440222.0
鹿児島県,0.6175445233373211,6646.01416015625,2019,10363011.0
三重県,1.7519129103287974,12294.9248046875,2020,18740652.0
京都府,2.103451797385621,11907.640625,2020,16874735.0
佐賀県,1.5534031480173005,4534.3837890625,2020,5688039.0
兵庫県,2.8120388217531835,28927.443359375,2020,40050215.0
北海道,0.8684406217668386,99887.171875,2020,34435515.0
千葉県,5.207116195241097,33044.359375,2020,38354759.0
和歌山県,1.0484097696011758,5973.8388671875,2020,6649060.0
埼玉県,6.373198328287657,29998.64453125,2020,40434906.0
大分県,1.0462504392797252,7954.64208984375,2020,9402605.0
大阪府,18.07075178416955,41779.578125,2020,67826830.0
奈良県,1.6445841489495097,7377.6044921875,2020,6275046.0
宮城県,1.6768036560720807,15609.365234375,2020,16851988.0
宮崎県,0.6253470292210006,5730.68017578125,2020,6530151.0
富山県,1.300675193805289,6910.4873046875,2020,8776521.0
山口県,1.0914109625278792,8074.25830078125,2020,12025236.0
山形県,0.7977163335603521,9516.755859375,2020,7967967.0
山梨県,1.0338005035477875,5700.3759765625,2020,6541800.0
岐阜県,1.0526328917209895,13806.3330078125,2020,14689558.0
岡山県,1.2849774269611227,11171.59375,2020,15375145.0
岩手県,0.591887057833518,11748.3662109375,2020,8954560.0
島根県,0.5717812628260671,4701.75732421875,2020,4486202.0
広島県,1.32869933178288,13729.4501953125,2020,22044250.0
徳島県,0.8920336611690971,4465.5205078125,2020,5607171.0
愛媛県,0.956713522923399,6513.3056640625,2020,9790124.0
愛知県,7.821214226584674,49602.140625,2020,79503685.0
新潟県,0.851392085694051,13524.36328125,2020,15849306.0
東京都,17.885283890026052,48057.7578125,2020,192701447.0
栃木県,1.5156054833874597,12133.9375,2020,17093281.0
沖縄県,0.0,0.0,2020,7066441.0
滋賀県,1.8288042874288764,8999.5458984375,2020,13346163.0
熊本県,1.0468080970091156,9244.3623046875,2020,10879168.0
石川県,1.2930930584236535,6770.63525390625,2020,8418022.0
神奈川県,11.07351688677658,32910.4921875,2020,60056465.0
福井県,0.989401518804243,5130.046875,2020,6670355.0
福岡県,4.283308205409357,25635.599609375,2020,34319585.0
福島県,0.8040306561565662,13983.701171875,2020,15060444.0
秋田県,0.6411919115463305,9715.33984375,2020,6116005.0
群馬県,1.3771841371339308,10910.052734375,2020,17254798.0
茨城県,2.6375208573665128,20005.595703125,2020,26676049.0
長崎県,1.1489513921285557,5695.35205078125,2020,7941959.0
長野県,0.7663885523432858,12898.3193359375,2020,15267354.0
青森県,0.9799380211599514,12501.0693359375,2020,7678807.0
静岡県,2.0930514145739205,19919.5703125,2020,34011490.0
香川県,2.070016506498894,4678.2373046875,2020,7153764.0
高知県,0.6124053994418728,5225.6552734375,2020,3981232.0
鳥取県,0.6998901791140889,3022.82568359375,2020,3300089.0
鹿児島県,0.6444199552679567,6935.24755859375,2020,10016191.0
三重県,1.8082223556835992,12690.1044921875,2021,20179382.0
京都府,2.190583563802773,12400.8935546875,2021,18315191.0
佐賀県,1.628090607870846,4752.396484375,2021,5974868.0
兵庫県,2.9219856903737726,30058.466796875,2021,42410501.0
北海道,0.9521204105408672,109511.9375,2021,36226746.0
千葉県,5.791349866057359,36751.90625,2021,41836928.0
和歌山県,1.114891258445946,6352.650390625,2021,6770836.0
埼玉県,6.897181060123221,32465.03125,2021,42583737.0
大分県,1.1035011107868604,8389.9189453125,2021,10476009.0
大阪府,18.42957261029412,42609.171875,2021,71908358.0
奈良県,1.7510687547021289,7855.29443359375,2021,6609765.0
宮城県,1.7900546933746913,16663.619140625,2021,17881853.0
宮崎県,0.6983749143216663,6399.90771484375,2021,6800650.0
富山県,1.6573640495600417,8805.5751953125,2021,9283466.0
山口県,1.1406836095904298,8438.77734375,2021,13580682.0
山形県,0.9108272376624056,10866.1689453125,2021,8304944.0
山梨県,1.1569296442861352,6379.31005859375,2021,6817953.0
岐阜県,1.1633922487324642,15259.052734375,2021,15510115.0
岡山県,1.3927038178269495,12108.1669921875,2021,17319120.0
岩手県,0.6630378695085395,13160.638671875,2021,8936940.0
島根県,0.6617741158564393,5441.7685546875,2021,4649298.0
広島県,1.404121371606745,14508.7861328125,2021,23641477.0
